id,title,context,question,answers
1,Hỏi đáp luật giao thông đường bộ cho xe gắn máy,"Xử phạt người điều khiển xe mô tô, xe gắn máy (kể cả xe máy điện), các loại xe tương tự xe mô tô và các loại xe tương tự xe gắn máy vi phạm quy tắc giao thông đường bộ. Phạt tiền từ 800.000 đồng đến 1.000.000 đồng đối với người điều khiển xe thực hiện một trong các hành vi vi phạm sau đây: Không chấp hành hiệu lệnh của đèn tín hiệu giao thông","Nếu người điều khiển xe mô tô, xe gắn máy không chấp hành hiệu lệnh của đèn tín hiệu giao thông thì bị xử phạt bao nhiêu tiền?","{'text':['Phạt tiền từ 800.000 đồng đến 1.000.000 đồng'],'answer_start':[ 169 ]}"
2,Hỏi đáp luật giao thông đường bộ cho xe gắn máy,"Căn cứ quy định tại Điểm a Khoản 3 Điều 6, Điểm c Khoản 2 Điều 6 và Điểm a Khoản 3 Điều 7 Nghị định 100/2019/NĐ-CP thì người điều khiển xe chạy quá tốc độ quy định từ 05 km/h đến dưới 10 km/h sẽ bị phạt sẽ bị xử phạt như sau:
Đối với người điều khiển xe mô tô, xe gắn máy (kể cả xe máy điện), các loại xe tương tự xe mô tô và các loại xe tương tự xe gắn máy: Bị phạt tiền từ 200.000 đồng đến 400.000 đồng.
",Điều khiển xe chạy quá tốc độ quy định từ 05 km/h đến dưới 10 km/h sẽ bị phạt bao nhiêu tiền?,"{'text':['Bị phạt tiền từ 200.000 đồng đến 400.000 đồng'],'answer_start':[ 359 ]}"
3,Hỏi đáp luật giao thông đường bộ cho xe gắn máy,"Tại Điểm d Khoản 8 Điều 6 Nghị định 100/2019/NĐ-CP, có quy định: Phạt tiền từ 6.000.000 đồng đến 8.000.000 đồng, bị tước quyền sử dụng Giấy phép lái xe từ 02 tháng đến 04 tháng và bị tạm giữ phương tiện tối đa đến 07 ngày trước khi ra quyết định xử phạt đối với người điều khiển xe thực hiện một trong các hành vi vi phạm. Trong đó có: Điều khiển xe thành nhóm từ 02 xe trở lên chạy quá tốc độ quy định;",Hành vi điều khiển xe thành nhóm từ 02 xe trở lên chạy quá tốc độ quy định mà gây tai nạn giao thông thì bị xử phạt vi phạm hành chính như thế nào?,"{'text':['Phạt tiền từ 6.000.000 đồng đến 8.000.000 đồng, bị tước quyền sử dụng Giấy phép lái xe từ 02 tháng đến 04 tháng và bị tạm giữ phương tiện tối đa đến 07 ngày'],'answer_start':[ 65 ]}"
4,Hỏi đáp luật giao thông đường bộ cho xe gắn máy,"Phạt tiền từ 400.000 đồng đến 600.000 đồng đối với người điều khiển xe môtô, xe gắn máy (kể cả xe máy điện), các loại xe tương tự xe môtô và các loại xe tương tự xe gắn máy vi phạm một trong các lỗi liên quan đến đội mũ bảo hiểm như sau: Không đội ""mũ bảo hiểm cho người đi môtô, xe máy"" hoặc đội ""mũ bảo hiểm cho người đi môtô, xe máy"" không cài quai đúng quy cách khi điều khiển xe tham gia giao thông trên đường bộ;","Người điều khiển xe máy, xe moto không đội mũ bảo hiểm sẽ bị xử phạt vi phạm hành chính bao nhiêu tiền?","{'text':['Phạt tiền từ 400.000 đồng đến 600.000 đồng'],'answer_start':[ 0 ]}"
5,Hỏi đáp luật giao thông đường bộ cho xe gắn máy,Phạt tiền từ 400.000 đồng đến 600.000 đồng đối với một trong các hành vi vi phạm sau đây: Chuyển hướng không giảm tốc độ hoặc không có tín hiệu báo hướng rẽ (trừ trường hợp điều khiển xe đi theo hướng cong của đoạn đường bộ ở nơi đường không giao nhau cùng mức); điều khiển xe rẽ trái tại nơi có biển báo hiệu có nội dung cấm rẽ trái đối với loại phương tiện đang điều khiển; điều khiển xe rẽ phải tại nơi có biển báo hiệu có nội dung cấm rẽ phải đối với loại phương tiện đang điều khiển;,Người điều khiển xe thực hiện hành vi chuyển hướng không giảm tốc độ hoặc không có tín hiệu báo hướng rẽ có bị xử phạt vi phạm hành chính không?,"{'text':['Phạt tiền từ 400.000 đồng đến 600.000 đồng'],'answer_start':[ 0 ]}"
6,Hỏi đáp luật giao thông đường bộ cho xe gắn máy,Hạng A1 cấp cho: Người lái xe để điều khiển xe mô tô hai bánh có dung tích xy lanh từ 50 cm3 đến dưới 175 cm3; Người khuyết tật điều khiển xe mô tô ba bánh dùng cho người khuyết tật.,Người có Giấy phép lái xe hạng A1 được điều khiển loại xe nào?,"{'text':['dung tích xy lanh từ 50 cm3 đến dưới 175 cm3'],'answer_start':[ 65 ]}"
7,Hỏi đáp luật giao thông đường bộ cho xe gắn máy,"Nếu CSGT yêu cầu kiểm tra giấy tờ mà không có xuất trình được bằng lái xe, người điều khiển phương tiện sẽ vừa bị giữ xe và xử phạt hành chính theo quy định hiện hành. Theo khoản 8 Điều 125 Luật Xử lý vi phạm hành chính, thời hạn tạm giữ phương tiện là 07 ngày",Người điều khiển phương tiện không xuất trình giấy phép lái xe có bị tạm giữ xe không?,"{'text':['bị giữ xe và xử phạt hành chính theo quy định hiện hành'],'answer_start':[ 111 ]}"
8,Hỏi đáp luật giao thông đường bộ cho xe gắn máy,"Phạt tiền từ 6.000.000 đồng đến 8.000.000 đồng đối với người điều khiển xe thực hiện một trong các hành vi vi phạm sau đây:
Không nhường đường hoặc gây cản trở xe được quyền ưu tiên đang phát tín hiệu ưu tiên đi làm nhiệm vụ;",Bạn đang lái xe phía trước có một xe cứu thương đang phát tín hiệu ưu tiên bạn có được phép vượt hay không?,"{'text':['Phạt tiền từ 6.000.000 đồng đến 8.000.000 đồng'],'answer_start':[ 0 ]}"
9,Hỏi đáp luật giao thông đường bộ cho xe gắn máy,"Tại Điều 30 Luật giao thông đường bộ quy định người điều khiển, người ngồi trên xe mô tô, xe gắn máy phải tuân theo quy tắc sau:
Người điều khiển xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy không được thực hiện các hành vi sử dụng xe để kéo, đẩy xe khác, vật khác, mang, vác và chở vật cồng kềnh; Buông cả hai tay hoặc đi xe bằng một bánh đối với xe hai bánh, bằng hai bánh đối với xe ba bánh; Hành vi khác gây mất trật tự, an toàn giao thông.","Người điều khiển xe mô tô hai bánh, ba bánh, xe gắn máy có được phép sử dụng xe để kéo hoặc đẩy các phương tiện khác khi tham gia giao thông không?","{'text':['không được thực hiện các hành vi sử dụng xe để kéo, đẩy xe khác, vật khác, mang, vác và chở vật cồng kềnh'],'answer_start':[ 194 ]}"
10,Hỏi đáp luật giao thông đường bộ cho xe gắn máy,"Luật Giao thông đường bộ năm 2008 quy định người ngồi trên xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy khi tham gia giao thông không được thực hiện các hành vi mang, vác vật cồng kềnh, sử dụng ô, bám, kéo hoặc đẩy các phương tiện khác;
","Người ngồi trên xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy khi tham gia giao thông có được sử dụng ô khi trời mưa hay không?   ","{'text':['không được thực hiện các hành vi mang, vác vật cồng kềnh, sử dụng ô'],'answer_start':[ 131 ]}"
11,Hỏi đáp luật giao thông đường bộ cho xe gắn máy,"Tại nơi có biển báo hiệu cố định lại có báo hiệu tạm thời thì người tham gia giao thông phải chấp hành hiệu lệnh của báo hiệu tạm thời. Tại nơi có vạch kẻ đường dành cho người đi bộ, người điều khiển phương tiện phải quan sát, giảm tốc độ và nhường đường cho người đi bộ, xe lăn của người khuyết tật qua đường.",Tại nơi có biển báo hiệu cố định lại có báo hiệu tạm thời thì người tham gia giao thông phải chấp hành hiệu lệnh của báo hiệu nào?,"{'text':['Tại nơi có biển báo hiệu cố định lại có báo hiệu tạm thời thì người tham gia giao thông phải chấp hành hiệu lệnh của báo hiệu tạm thời'],'answer_start':[ 0 ]}"
12,Hỏi đáp luật giao thông đường bộ cho xe gắn máy,"Theo quy định, khi muốn chuyển hướng, người điều khiển phương tiện phải giảm tốc độ và có tín hiệu báo hướng rẽ; trong khi chuyển hướng, phải nhường quyền đi trước cho người đi bộ, người đi xe đạp đang đi trên phần đường dành riêng cho họ, nhường đường cho các xe đi ngược chiều","Khi muốn chuyển hướng, người lái xe phải thực hiện như thế nào để đảm bảo an toàn giao thông?","{'text':['người điều khiển phương tiện phải giảm tốc độ và có tín hiệu báo hướng rẽ'],'answer_start':[ 38 ]}"
13,Hỏi đáp luật giao thông đường bộ cho xe gắn máy,"Đèn tín hiệu chính điều khiển giao thông được áp dụng ba loại màu tín hiệu là xanh, vàng và đỏ.","Theo Luật Giao thông đường bộ, tín hiệu đèn giao thông gồm 3 màu nào?","{'text':['xanh, vàng và đỏ'],'answer_start':[ 78 ]}"
14,Hỏi đáp luật giao thông đường bộ cho xe gắn máy,"Khi gặp xe buýt đang dừng đón, trả khách, người điều khiển xe mô tô phải giảm tốc độ đến mức an toàn có thể và quan sát người qua đường và từ từ vượt qua xe buýt.","Khi gặp xe buýt đang dừng đón, trả khách, người điều khiển xe mô tô phải xử lý như thế nào dưới đây để đảm bảo an toàn giao thông?","{'text':['giảm tốc độ đến mức an toàn có thể và quan sát người qua đường và từ từ vượt qua xe buýt'],'answer_start':[ 73 ]}"
15,Hỏi đáp luật giao thông đường bộ cho xe gắn máy,"Trên đường đang xảy ra ùn tắc những hành vi thiếu văn hóa khi tham gia giao thông là bấm còi liên tục thúc giục các phương tiện phía trước nhường đường, đi lên vỉa hè, lấn sang trái đường cố gắng vượt lên xe khác.",Trên đường đang xảy ra ùn tắc có những hành vi nào sau đây là thiếu văn hóa khi tham gia giao thông?,"{'text':['bấm còi liên tục thúc giục các phương tiện phía trước nhường đường, đi lên vỉa hè, lấn sang trái đường cố gắng vượt lên xe khác'],'answer_start':[ 85 ]}"
16,Hỏi đáp luật giao thông đường bộ cho xe gắn máy,"Điều quan trọng trong việc điều khiển xe côn tay nói chung và những loại mô tô phân khối lớn nói riêng là luôn phải giữ thói quen đặt tay lên cả tay côn và tay phanh. Khác với xe số và xe ga, để điều khiển một chiếc xe côn tay an toàn, người điều khiển luôn phải kết hợp nhịp nhàng cả chân số, chân phanh, tay côn cũng như tay ga, nhấn nhả nhịp nhàng.","Để đạt được hiệu quả phanh cao nhất, người lái xe mô tô phải sử dụng các kỹ năng nào?","{'text':['luôn phải giữ thói quen đặt tay lên cả tay côn và tay phanh'],'answer_start':[ 106 ]}"